Base Word,Guideword,Level,Part of Speech,Topic
rainy,,B1,adjective,natural world
raise,LIFT,B1,verb,people: actions
raise,INCREASE,B1,verb,
range,OF THINGS,B1,noun,
range,MOUNTAINS,B1,noun,
rare,UNUSUAL,B1,adjective,
rarely,,B1,adverb,
rather,SMALL AMOUNT,B1,adverb,communication
rather than,,B1,phrase,
raw,NOT COOKED,B1,adjective,food and drink
reach,ARRIVE,B1,verb,travel
reader,PERSON,B1,noun,communication
reader,BOOK,B1,noun,"communication, education"
real,TRUE,B1,adjective,
realistic,SEEMING REAL,B1,adjective,
realize,,B1,verb,people: personality
really,FACT,B1,adverb,
reasonable,CHEAP,B1,adjective,"money, shopping"
reasonable,BIG ENOUGH,B1,adjective,describing things
reasonable,GOOD ENOUGH,B1,adjective,describing things
reasonably priced,,B1,phrase,"money, shopping"
rebuild,BUILD AGAIN,B1,verb,"buildings, people: actions"
recent,,B1,adjective,
recently,,B1,adverb,
recipe,,B1,noun,food and drink
recognize,KNOW,B1,verb,
recommend,SUITABLE,B1,verb,communication
record,SONG/MUSIC,B1,noun,arts and media
record,BEST,B1,noun,shopping
recording,MUSIC/SPEECH,B1,noun,arts and media
recover,HEALTH,B1,verb,body and health
recycle,,B1,verb,"natural world, people: actions"
recycled,,B1,adjective,natural world
recycling,PROCESS,B1,noun,"natural world, people: actions"
reduce,,B1,verb,
refreshments,,B1,noun,food and drink
refund,,B1,noun,"money, shopping"
refuse,,B1,verb,communication
regarding,,B1,preposition,communication
regards,,B1,phrase,communication
region,AREA,B1,noun,natural world
register,,B1,verb,communication
registration,,B1,noun,communication
regret,BAD DECISION,B1,verb,people: personality
regular,OFTEN,B1,adjective,
regular,GRAMMAR,B1,adjective,
regular,SIZE,B1,adjective,describing things
regularly,OFTEN,B1,adverb,
regularly,SAME TIME,B1,adverb,
relation,FAMILY MEMBER,B1,noun,relationships
relationship,TWO PEOPLE/GROUPS,B1,noun,relationships
relationship,ROMANTIC,B1,noun,relationships
relative,,B1,noun,relationships
relax,BECOME HAPPY,B1,verb,people: personality
relaxation,,B1,noun,
relaxed,PERSON,B1,adjective,people: personality
relaxing,,B1,adjective,people: personality
reliable,,B1,adjective,people: personality
religion,,B1,noun,
"remain calm/open, etc.",,B1,phrase,
remind,,B1,verb,communication
remind sb of sth/sb,,B1,phrasal verb,
remote control,,B1,noun,technology
remove,TAKE AWAY,B1,verb,people: actions
rent,RECEIVE MONEY,B1,verb,"buildings, money"
repair,,B1,noun,
repeat,TELL,B1,verb,communication
replace,USE INSTEAD,B1,verb,people: actions
replace,GET SOMETHING NEW,B1,verb,"people: actions, shopping"
reply,,B1,verb,communication
reply,,B1,noun,communication
report,DESCRIBE,B1,verb,"arts and media, communication"
report,TELL,B1,verb,communication
report,,B1,noun,"arts and media, communication"
reporter,,B1,noun,"arts and media, work"
request,,B1,noun,communication
request,,B1,verb,communication
require,NEED,B1,verb,
rescue,,B1,verb,people: actions
rescue,SAVE,B1,noun,people: actions
research,,B1,noun,
reservation,ARRANGEMENT,B1,noun,travel
reserve,ARRANGE TO HAVE,B1,verb,"people: actions, travel"
reserve,KEEP,B1,verb,people: actions
resort,VACATION,B1,noun,travel
respect,ADMIRATION,B1,noun,people: personality
respect,POLITENESS,B1,noun,people: personality
respect,ADMIRE,B1,verb,people: personality
rest,RELAX/SLEEP,B1,verb,people: actions
result,HAPPEN,B1,noun,
result,INFORMATION,B1,noun,"body and health, education"
result,COMPETITION,B1,noun,
résumé,,B1,noun,"communication, work"
retire,,B1,verb,work
return,GOING BACK,B1,noun,"people: actions, travel"
return,COMPUTER,B1,noun,technology
review,STUDY,B1,verb,education
review,REPORT,B1,noun,"arts and media, communication"
review,STUDY,B1,noun,
reward,SOMETHING GOOD,B1,noun,
reward,MONEY,B1,noun,"crime, money"
ride,VEHICLE,B1,noun,travel
ride,BICYCLE,B1,noun,travel
ride,PLAYING,B1,noun,
rider,,B1,noun,"shopping, travel"
right,SUITABLE,B1,adjective,
right,EXACTLY,B1,adverb,
right away/now/after,,B1,phrase,
ring,SOUND,B1,verb,communication
rise,SUN/MOON,B1,verb,natural world
rise,MOVE UP,B1,verb,
rob,STEAL,B1,verb,"crime, people: actions"
robot,,B1,noun,
rock,HARD SUBSTANCE,B1,noun,natural world
role,ACTING,B1,noun,arts and media
roll,BREAD,B1,noun,food and drink
romance,,B1,noun,relationships
romantic,LOVE,B1,adjective,"people: personality, relationships"
romantic,STORY,B1,adjective,arts and media
room,SPACE,B1,noun,
rose,,B1,noun,natural world
rough,NOT SMOOTH,B1,adjective,describing things
rough,NOT EXACT,B1,adjective,describing things
route,ROAD,B1,noun,travel
Route,,B1,phrase,
routine,,B1,noun,people: actions
row,SEATS,B1,noun,buildings
row,LINE,B1,noun,describing things
rude,,B1,adjective,"communication, people: personality"
rug,,B1,noun,buildings
ruin,REMAINS,B1,noun,buildings
rule,PRINCIPLE,B1,noun,
rule,INSTRUCTION,B1,noun,crime
run,ORGANIZE,B1,verb,"people: actions, work"
run,MOVE FAST,B1,noun,"people: actions, shopping"
run out,USE ALL,B1,phrasal verb,
safe,NOT HARMED,B1,adjective,
safely,,B1,adverb,
sail,CONTROL BOAT,B1,verb,travel
sail,TRAVEL ON BOAT,B1,verb,travel
sailor,,B1,noun,"shopping, travel, work"
salary,,B1,noun,"money, work"
salesman,,B1,noun,"shopping, work"
saleswoman,,B1,noun,"shopping, work"
salmon,,B1,noun,"animals, food and drink"
salon,,B1,noun,
sand,,B1,noun,natural world
sandal,,B1,noun,clothes
sandy,,B1,adjective,natural world
satisfied,PLEASED,B1,adjective,people: personality
saucer,,B1,noun,food and drink
save,NOT WASTE,B1,verb,
save,MAKE SAFE,B1,verb,people: actions
say,TELL,B1,verb,communication
say,GIVE INFORMATION,B1,verb,communication
say,THINK,B1,verb,communication
sb's call,,B1,phrase,
sb's fault,,B1,phrase,
sb's past,,B1,phrase,
scared,,B1,adjective,people: personality
scary,,B1,adjective,people: personality
scene,"FILM/BOOK, ETC.",B1,noun,arts and media
scenery,,B1,noun,natural world
schedule,BUS/TRAIN,B1,noun,travel
school,COLLEGE/UNIVERSITY,B1,noun,education
science,TYPE,B1,noun,education
science fiction,,B1,noun,arts and media
scientific,,B1,adjective,education
scientist,,B1,noun,"education, work"
score,,B1,verb,"people: actions, shopping"
score,,B1,noun,shopping
scream,,B1,verb,communication
scream,,B1,noun,communication
sculpture,,B1,noun,arts and media
search,TRY TO FIND,B1,verb,people: actions
search,USE COMPUTER,B1,verb,"people: actions, technology"
search,TRY TO FIND,B1,noun,people: actions
search,USE COMPUTER,B1,noun,"people: actions, technology"
seaside,,B1,noun,natural world
season,PART OF YEAR,B1,noun,natural world
season,FOR PARTICULAR EVENT,B1,noun,
second,ANOTHER,B1,number,describing things
second,"ONLY ONE BETTER/BIGGER, ETC.",B1,number,
second,IN ORDER,B1,adverb,
second,VERY SHORT PERIOD,B1,noun,
secondary,,B1,adjective,education
secondary school,,B1,noun,education
second-hand,,B1,adjective,
secret,NOT TELL,B1,noun,
secret,,B1,adjective,
secretly,,B1,adverb,
section,,B1,noun,
security,PROTECTION,B1,noun,politics
see,UNDERSTAND,B1,verb,
"seem happy/a nice person, etc.",,B1,phrase,people: personality
"seem like/as if/to, etc.",,B1,phrase,
select,,B1,verb,people: actions
selfish,,B1,adjective,people: personality
self-service,,B1,adjective,"food and drink, shopping"
seller,,B1,noun,"shopping, work"
send sth back or send back sth,,B1,phrasal verb,"people: actions, shopping"
sense,FEELING,B1,noun,people: personality
sensible,,B1,adjective,people: personality
separate,NOT JOINED,B1,adjective,
separate,DIFFERENT,B1,adjective,
series,BROADCASTS,B1,noun,arts and media
serious,NOT JOKING,B1,adjective,
serious,BAD,B1,adjective,
serious,PERSON,B1,adjective,people: personality
seriously,BADLY,B1,adverb,
server,,B1,noun,technology
service,PUBLIC NEED,B1,noun,
service,DEALING WITH CUSTOMER,B1,noun,shopping
session,,B1,noun,
set,STORY/MOVIE,B1,verb,arts and media
set,SUN,B1,verb,natural world
set a date/time (for sth),,B1,phrase,people: actions
set off,,B1,phrasal verb,travel
set out,TRIP,B1,phrasal verb,travel
set the table,,B1,phrase,"food and drink, people: actions"
set the table,,B1,phrase,"food and drink, people: actions"
set up sth or set sth up,ORGANIZATION,B1,phrasal verb,"people: actions, work"
sew,,B1,verb,"clothes, people: actions"
sex,MALE OR FEMALE,B1,noun,people: appearance
sex,ACTIVITY,B1,noun,"people: actions, relationships"
shade,LESS SUN,B1,noun,natural world
shadow,NO LIGHT,B1,noun,
shake,SMALL MOVEMENTS,B1,verb,people: actions
shake hands,,B1,phrase,"communication, people: actions"
shape,PHYSICAL FORM,B1,noun,describing things
share,"FEELING/EXPERIENCE, ETC.",B1,verb,
shark,,B1,noun,animals
sharp,ABLE TO CUT,B1,adjective,describing things
shave,,B1,verb,people: appearance
sheet,FOR BED,B1,noun,buildings
shine,PRODUCE LIGHT,B1,verb,
shiny,,B1,adjective,
shock,SURPRISE,B1,noun,people: personality
shocked,,B1,adjective,people: personality
shocking,,B1,adjective,people: personality
shoot,WEAPON,B1,verb,people: actions
shoot,SPORTS,B1,verb,"people: actions, shopping"
shop,,B1,verb,"people: actions, shopping"
shore,,B1,noun,natural world
shortly afterward; shortly after/before sth,,B1,phrase,
should,BEST,B1,modal verb,
should,PROBABLE,B1,modal verb,
shoulder,,B1,noun,body and health
shout,,B1,noun,communication
show,GIVE INFORMATION,B1,verb,communication
shower,RAIN,B1,noun,natural world
show sb around,,B1,phrasal verb,people: actions
show sb what to do/how to do sth,,B1,phrase,"education, people: actions"
show up,,B1,phrasal verb,"people: actions, travel"
shrimp,,B1,noun,
shut,CLOSED,B1,adjective,
shut (sth) down or shut down (sth),,B1,phrasal verb,"people: actions, technology"
shy,,B1,adjective,people: personality
side,NEXT TO,B1,noun,
sidewalk,,B1,noun,travel
sight,ABILITY TO SEE,B1,noun,body and health
sign,SHOWING,B1,noun,
sign,BODY MOVEMENT,B1,noun,"communication, people: actions"
sign,,B1,verb,communication
signature,,B1,noun,communication
signpost,,B1,noun,"communication, travel"
sign up,,B1,phrasal verb,people: actions
silence,NO SOUND,B1,noun,
silent,QUIET,B1,adjective,
silk,,B1,noun,
silly,LITTLE THOUGHT,B1,adjective,people: personality
silly,UNIMPORTANT,B1,adjective,
similar,,B1,adjective,
simple,NOT COMPLICATED,B1,adjective,
since,TIME,B1,conjunction,
since,BECAUSE,B1,conjunction,
Sincerely (yours),,B1,phrase,communication
single parent,,B1,phrase,relationships
sink,GO DOWN BELOW,B1,verb,
sir,FORM OF ADDRESS,B1,noun,communication
site,PLACE,B1,noun,
situation,,B1,noun,
skate,,B1,verb,"people: actions, shopping"
ski,,B1,noun,shopping
ski,,B1,verb,"people: actions, shopping"
skill,,B1,noun,people: personality
skin,BODY,B1,noun,body and health
sleep,NOT AWAKE,B1,noun,
sleep,PERIOD OF SLEEPING,B1,noun,
sleepy,TIRED,B1,adjective,
sleeve,CLOTHING,B1,noun,clothes
slip,SLIDE,B1,verb,people: actions
smart,INTELLIGENT,B1,adjective,people: personality
smell,USE NOSE,B1,verb,people: actions
smell,UNPLEASANT,B1,verb,
smell,CHARACTERISTIC,B1,noun,
"smell of/like; smell delicious/horrible, etc.",,B1,phrase,
smile,,B1,verb,"communication, people: actions, people: personality"
smile,,B1,noun,"communication, people: personality"
smoke,,B1,noun,
smooth,REGULAR SURFACE,B1,adjective,describing things
snowboard,,B1,noun,shopping
soap,TELEVISION PROGRAM,B1,noun,arts and media
soap opera,,B1,noun,arts and media
sociable,,B1,adjective,"people: personality, relationships"
social,GOING OUT,B1,adjective,
social networking,,B1,noun,technology
society,PEOPLE,B1,noun,
"so did we/so have I/so is mine, etc.",,B1,phrase,
so far,,B1,phrase,
so far,,B1,phrase,
soft,GENTLE,B1,adjective,
softly,,B1,adverb,
soldier,,B1,noun,
solution,,B1,noun,
solve,,B1,verb,
somehow,WAY NOT KNOWN,B1,adverb,
some kind of,,B1,phrase,
someplace,,B1,adverb,
sore,PAINFUL,B1,adjective,body and health
so (that),,B1,phrase,
sound like/as if/as though,,B1,phrase,
sour,,B1,adjective,food and drink
southeast,,B1,noun,
southeast,,B1,adjective,
southern,,B1,adjective,
southwest,,B1,adjective,
southwest,,B1,noun,
souvenir,,B1,noun,travel
space,BEYOND EARTH,B1,noun,natural world
spare,EXTRA,B1,adjective,
sparkling water/wine,,B1,phrase,food and drink
speak about/of sth,,B1,phrase,
speaker,IN PUBLIC,B1,noun,communication
speaker,PERSON,B1,noun,communication
special,DIFFERENT,B1,adjective,
specially,,B1,adverb,
special offer,,B1,phrase,"money, shopping"
spectacular,,B1,adjective,
speech,ABILITY TO TALK,B1,noun,communication
speed,RATE OF MOVEMENT,B1,noun,
spice,FOOD,B1,noun,food and drink
spicy,,B1,adjective,food and drink
spider,,B1,noun,animals
spill,,B1,verb,people: actions
spinach,,B1,noun,food and drink
split up,,B1,phrasal verb,"people: actions, relationships"
spoil,,B1,verb,people: actions
sports,,B1,adjective,shopping
spot,CIRCLE,B1,noun,
spy,,B1,noun,
squash,,B1,noun,shopping
stain,,B1,noun,
stall,,B1,noun,shopping
star,,B1,verb,arts and media
start,MAKE HAPPEN,B1,verb,people: actions
start,BEGINNING,B1,noun,
start (sth) off or start off(sth),,B1,phrasal verb,people: actions
state,PART OF COUNTRY,B1,noun,"natural world, politics"
station,BROADCASTING,B1,noun,arts and media
statue,,B1,noun,arts and media
stay,CONTINUE,B1,verb,
stay,,B1,noun,travel
steep,SLOPE,B1,adjective,
step,FOOT MOVEMENT,B1,noun,people: actions
step,STAIR,B1,noun,buildings
"step back/forward/over, etc.",,B1,phrase,people: actions
step on/in sth,,B1,phrase,people: actions
stick,ATTACH,B1,verb,people: actions
stick,THIN PIECE,B1,noun,
sticky,,B1,adjective,
still,DESPITE,B1,adverb,
stir,MIX,B1,verb,"food and drink, people: actions"
stone,ROCK,B1,noun,natural world
stone,JEWEL,B1,noun,natural world
stop,PREVENT,B1,verb,people: actions
stop,NOT OPERATE,B1,verb,technology
stop,NOT MOVE,B1,verb,people: actions
stop,TRIP/ACTIVITY,B1,noun,
straight,IMMEDIATELY,B1,adverb,
strange,NOT FAMILIAR,B1,adjective,
stranger,,B1,noun,relationships
strawberry,,B1,noun,food and drink
stream,SMALL RIVER,B1,noun,natural world
stress,WORRY,B1,noun,people: personality
stressed,,B1,adjective,people: personality
stressful,,B1,adjective,people: personality
strict,PERSON,B1,adjective,people: personality
strike,HIT,B1,verb,people: actions
strike,,B1,noun,work
stripe,,B1,noun,describing things
strong,NOTICEABLE,B1,adjective,describing things
strong,DIFFICULT TO BREAK,B1,adjective,describing things
strong,PRODUCED WITH POWER,B1,adjective,
strong,RELATIONSHIP,B1,adjective,relationships
studio,FILM,B1,noun,"arts and media, buildings"
studio,TV/RADIO/MUSIC,B1,noun,"arts and media, buildings"
study,ROOM,B1,noun,buildings
stuff,SUBSTANCE,B1,noun,
stupid,,B1,adjective,people: personality
style,WAY,B1,noun,
style,FASHION,B1,noun,
stylish,,B1,adjective,clothes
subject,GRAMMAR,B1,noun,
subject,THING TALKED ABOUT,B1,noun,communication
succeed,,B1,verb,people: actions
success,ACHIEVEMENT,B1,noun,
success,GOOD THING,B1,noun,
successful,ACHIEVEMENT,B1,adjective,
suddenly,,B1,adverb,
suffer from sth,,B1,phrase,body and health
suggest,IDEA,B1,verb,communication
suggest,ADVICE,B1,verb,communication
suggestion,IDEA,B1,noun,communication
suitable,,B1,adjective,
sum,,B1,noun,money
sunbathe,,B1,verb,people: actions
sunrise,,B1,noun,natural world
sunset,,B1,noun,natural world
sunshine,,B1,noun,natural world
support,PROVIDE,B1,verb,"money, people: actions"
support,HELP,B1,verb,"people: actions, relationships"
support,SPORTS,B1,verb,shopping
support,HELP,B1,noun,people: actions
surf,WAVES,B1,verb,"people: actions, shopping"
surprise,,B1,verb,people: personality
surprising,,B1,adjective,people: personality
surprisingly,,B1,adverb,people: personality
surround,GO AROUND,B1,verb,
sweatshirt,,B1,noun,clothes
sweet,KIND,B1,adjective,people: personality
swimmer,,B1,noun,shopping
switch,,B1,noun,technology
switch off sth or switch sth off,,B1,phrasal verb,"people: actions, technology"
switch on sth or switch sth on,,B1,phrasal verb,"people: actions, technology"
system,EQUIPMENT,B1,noun,
table,INFORMATION,B1,noun,communication
tablet,,B1,noun,body and health
take,GET HOLD,B1,verb,people: actions
take,WITHOUT PERMISSION,B1,verb,people: actions
take,ACCEPT,B1,verb,
take,PERFORM ACTION,B1,verb,people: actions
take,WRITE,B1,verb,communication
take,STUDY,B1,verb,education
take,CLOTHES,B1,verb,clothes
"take a break/rest, etc.",,B1,phrase,
take advantage of sth,,B1,phrase,
take advantage of sth,,B1,phrase,
take back sth or take sth back,,B1,phrasal verb,"people: actions, shopping"
take care of sb/sth,,B1,phrase,body and health
take care of sb/sth,,B1,phrase,body and health
take it/things easy,,B1,phrase,people: actions
take it/things easy,,B1,phrase,people: actions
takeout,,B1,noun,food and drink
take out sb or take sb out,,B1,phrasal verb,people: actions
take out sth or take sth out,REMOVE,B1,phrasal verb,people: actions
take out sth or take sth out,FOOD,B1,phrasal verb,"food and drink, people: actions"
take part,,B1,phrase,people: actions
take part,,B1,phrase,people: actions
take place,,B1,phrase,
take place,,B1,phrase,
take up sth or take sth up,START,B1,phrasal verb,people: actions
talent,,B1,noun,people: personality
talented,,B1,adjective,people: personality
talk,CONVERSATION,B1,noun,communication
talk show,,B1,noun,arts and media
taste,FLAVOR,B1,noun,food and drink
taste,FOOD/DRINK,B1,verb,"food and drink, people: actions"
"taste good/bad/sweet, etc.",,B1,phrase,food and drink
tasty,,B1,adjective,food and drink
tax,,B1,noun,money
teach,GET EXPERIENCE,B1,verb,
teaching,,B1,noun,"education, work"
team,WORK GROUP,B1,noun,work
tear,BREAK,B1,verb,people: actions
tear,CRYING,B1,noun,
technique,,B1,noun,
technology,,B1,noun,technology
teenage,,B1,adjective,people: appearance
television,SYSTEM,B1,noun,arts and media
tell sb how/what/when to do sth,,B1,phrase,communication
temperature,BODY,B1,noun,body and health
temple,,B1,noun,buildings
temporary,,B1,adjective,
tense,,B1,noun,
tent,,B1,noun,travel
terribly,VERY MUCH,B1,adverb,communication
terrific,VERY GOOD,B1,adjective,describing things
terrified,,B1,adjective,people: personality
test,MEDICAL,B1,noun,body and health
test,EXAM,B1,verb,"education, people: actions"
text,"WORDS, NOT PICTURES",B1,noun,communication
text,PIECE OF WRITING,B1,noun,communication
thank God,,B1,phrase,communication
thank God,,B1,phrase,communication
thank you,,B1,noun,communication
that kind of thing,,B1,phrase,
that sort of thing,,B1,phrase,
that sort of thing,,B1,phrase,
the,YOUR,B1,determiner,
the army,,B1,phrase,
the best,,B1,phrase,
the cold,,B1,phrase,natural world
the dark,,B1,phrase,
the environment,,B1,phrase,natural world
the first,,B1,phrase,
the first floor,,B1,noun,buildings
"the following day/morning, etc.",,B1,phrase,
the future,,B1,phrase,
the girls,,B1,phrase,
the ground,,B1,phrase,natural world
the ground floor,,B1,noun,buildings
the heart of sth,,B1,phrase,
their,TO AVOID HIS/HERS,B1,determiner,
them,TO AVOID HIM/HER,B1,pronoun,
the middle,,B1,phrase,
the news,,B1,phrase,arts and media
the other day,,B1,phrase,
"the other day/week, etc.",,B1,phrase,
the other side/end (of sth),,B1,phrase,
the passive,,B1,phrase,
the past,,B1,phrase,
the present,,B1,phrase,
the public,,B1,phrase,
therefore,,B1,adverb,communication
there's no doubt,,B1,phrase,
the same,,B1,phrase,
the same thing,,B1,phrase,
the sights,,B1,phrase,travel
the truth,,B1,phrase,
the universe,,B1,phrase,natural world
they,PERSON,B1,pronoun,
thick,NOT THIN,B1,adjective,describing things
thick,CLOSE TOGETHER,B1,adjective,"describing things, natural world"
thief,,B1,noun,crime
things,,B1,phrase,
things like that,,B1,phrase,
think,USE BRAIN,B1,verb,
think,REMEMBER,B1,verb,
think of sth,,B1,phrase,
though,DESPITE,B1,conjunction,
thought,IDEA,B1,noun,people: personality
"three/eight/nine, etc. times",,B1,phrase,describing things
thriller,,B1,noun,arts and media
throat,,B1,noun,body and health
through,BEGINNING TO END,B1,preposition,
through,BECAUSE OF,B1,preposition,
through,,B1,adverb,describing things
throw away/out sth or throw sth away/out,,B1,phrasal verb,people: actions
thumb,,B1,noun,body and health
thunder,,B1,noun,natural world
tie,FASTEN,B1,verb,people: actions
tie,MAKE A KNOT,B1,verb,people: actions
tiger,,B1,noun,animals
tight,CLOTHES,B1,adjective,clothes
till,,B1,conjunction,
time,WHEN SOMETHING HAPPENS,B1,noun,
time,AVAILABLE OR NEEDED,B1,noun,
tiny,,B1,adjective,describing things
tip,ADVICE,B1,noun,communication
tip,PAYMENT,B1,noun,money
tired of doing sth,,B1,phrase,people: personality
tiring,,B1,adjective,people: personality
tissue,,B1,noun,
title,"BOOK/FILM, ETC.",B1,noun,communication
to,POSITION,B1,preposition,describing things
to,AFFECTED,B1,preposition,
to,COMPARE,B1,preposition,
to,RELATIONSHIP,B1,preposition,relationships
to,CONNECTED,B1,preposition,
to,UNTIL,B1,preposition,
to begin with,,B1,phrase,
to be honest,,B1,phrase,communication
together,SAME TIME,B1,adverb,
to go,,B1,phrase,food and drink
tongue,IN MOUTH,B1,noun,body and health
too bad,,B1,phrase,communication
too bad,,B1,phrase,communication
toothpaste,,B1,noun,
top,CLOTHES,B1,noun,clothes
top,HIGHEST PART,B1,adjective,
top,BEST,B1,adjective,
topic,,B1,noun,communication
total,,B1,noun,
total,AMOUNT,B1,adjective,
totally,,B1,adverb,communication
touch,PUT HAND ON,B1,verb,people: actions
tour,,B1,verb,"people: actions, travel"
tourism,,B1,noun,travel
tournament,,B1,noun,shopping
toward,DIRECTION,B1,preposition,
tower,,B1,noun,buildings
town,PLACE YOU LIVE,B1,noun,
track,PATH,B1,noun,travel
track,RACE,B1,noun,shopping
trade,BUYING AND SELLING,B1,noun,"shopping, work"
traditional,,B1,adjective,
traffic jam,,B1,noun,travel
train,SPORTS,B1,verb,"people: actions, shopping"
trainer,PERSON,B1,noun,"education, work"
training,LEARNING SKILLS,B1,noun,"education, work"
training,SPORTS,B1,noun,shopping
transfer,MOVE,B1,verb,people: actions
translate,LANGUAGE,B1,verb,communication
translation,,B1,noun,communication
transportation,TRAVEL METHOD,B1,noun,travel
trash,,B1,noun,
travel,MOVE,B1,verb,"people: actions, travel"
travel,,B1,noun,travel
travel agent,,B1,noun,"travel, work"
traveler,,B1,noun,travel
trend,,B1,noun,
trick,DECEIVE,B1,noun,
trick,MAGIC,B1,noun,
trouble,DIFFICULTIES,B1,noun,
trouble,PUNISHMENT,B1,noun,
truck,,B1,noun,travel
TRUE,REAL,B1,adjective,
trumpet,,B1,noun,arts and media
trunk,CAR,B1,noun,travel
trust,BELIEVE,B1,verb,people: personality
try,TEST,B1,verb,people: actions
tube,CONTAINER,B1,noun,
tuna,,B1,noun,food and drink
tunnel,,B1,noun,travel
turkey,,B1,noun,"animals, food and drink"
turn,CHANGE POSITION,B1,verb,
turn,MOVE YOUR BODY,B1,verb,people: actions
turn,PAGE,B1,verb,people: actions
turn,TIME,B1,noun,
turn down sth or turn sth down,,B1,phrasal verb,people: actions
turn (sb/sth) into sb/sth,,B1,phrasal verb,
turn up sth or turn sth up,,B1,phrasal verb,"people: actions, technology"
twin,,B1,noun,relationships
"two weeks/five hours, etc. away",,B1,phrase,
type,,B1,verb,"communication, people: actions"
type in sth or type sth in,,B1,phrasal verb,"communication, people: actions"
typical,,B1,adjective,
typically,USUALLY,B1,adverb,
unbelievable,SURPRISING,B1,adjective,people: personality
uncomfortable,,B1,adjective,people: personality
uncountable noun,,B1,noun,
underline,DRAW LINE,B1,verb,communication
underneath,,B1,preposition,describing things
underpants,,B1,noun,clothes
understand,KNOW FEELINGS,B1,verb,
underwear,,B1,noun,clothes
undress,,B1,verb,"clothes, people: actions"
unemployed,,B1,adjective,work
unemployment,,B1,noun,work
unexpected,,B1,adjective,people: personality
unfair,NOT EQUAL,B1,adjective,
unforgettable,,B1,adjective,
unfriendly,,B1,adjective,"people: personality, relationships"
unhappy,NOT SATISFIED,B1,adjective,people: personality
unhealthy,,B1,adjective,body and health
unimportant,,B1,adjective,describing things
uninterested,,B1,adjective,people: personality
uninteresting,,B1,adjective,people: personality
union,REPRESENTATIVE ORGANIZATION,B1,noun,work
unit,SINGLE THING,B1,noun,
unkind,,B1,adjective,people: personality
unknown,,B1,adjective,
unless,,B1,conjunction,
unlikely,NOT LIKELY,B1,adjective,
unlucky,,B1,adjective,
unnecessary,,B1,adjective,
unpack,,B1,verb,"people: actions, travel"
unpleasant,NOT PLEASANT,B1,adjective,describing things
until,DIRECTIONS,B1,conjunction,
until,TIME,B1,conjunction,
unwell,,B1,adjective,body and health
up,NOT IN BED,B1,adverb,
update,ADD INFORMATION,B1,verb,"communication, people: actions"
upload,,B1,verb,"people: actions, technology"
upper,,B1,adjective,
upstairs,,B1,adjective,buildings
"up to 10, 20, etc.",,B1,phrase,
up to date,,B1,phrase,
up-to-date,,B1,adjective,
"up to/until/till, etc.",,B1,phrase,
urgent,,B1,adjective,
urgently,,B1,adverb,
use,REDUCE,B1,verb,people: actions
use,PURPOSE,B1,noun,
use,WORD,B1,noun,communication
used,,B1,adjective,
used to do/be sth,,B1,phrase,
useless,NO HELP,B1,adjective,describing things
user,,B1,noun,
usual,NORMAL,B1,adjective,
valley,,B1,noun,natural world
valuable,OBJECTS,B1,adjective,money
value,MONEY,B1,noun,"money, shopping"
value,IMPORTANCE,B1,noun,
van,,B1,noun,travel
variety,BEING DIFFERENT,B1,noun,
vase,,B1,noun,
vegetarian,,B1,noun,food and drink
vegetarian,,B1,adjective,food and drink
vehicle,,B1,noun,travel
vet,,B1,noun,"animals, work"
via,JOURNEY,B1,preposition,travel
via,USING,B1,preposition,communication
video clip,,B1,noun,"arts and media, technology"
view,OPINION,B1,noun,
virus,COMPUTER PROBLEM,B1,noun,technology
visa,,B1,noun,"communication, travel"
visit,,B1,noun,"people: actions, travel"
voice,SOUNDS,B1,noun,
volume,SOUND,B1,noun,technology
vote,,B1,verb,"people: actions, politics"
vote,SHOW CHOICE,B1,noun,politics
vowel,,B1,noun,communication
wage,,B1,noun,"money, work"
wait (a minute),,B1,phrase,communication
wait a minute,,B1,phrase,communication
wait a moment,,B1,phrase,communication
"walking/hockey, etc. stick",,B1,phrase,shopping
walk sb home/to sth,,B1,phrase,people: actions
walk the dog,,B1,phrase,people: actions
warm,FRIENDLY,B1,adjective,"people: personality, relationships"
warn,,B1,verb,communication
warning,,B1,noun,communication
waste,BAD USE,B1,noun,people: actions
waste,,B1,adjective,
waste,USE TOO MUCH,B1,verb,people: actions
waterfall,,B1,noun,natural world
wave,,B1,verb,"communication, people: actions"
wave,WATER,B1,noun,natural world
way,DIRECTION,B1,noun,
way,DISTANCE,B1,noun,
we,ALL PEOPLE,B1,pronoun,
weak,BODY,B1,adjective,people: appearance
weak,NOT GOOD,B1,adjective,people: personality
wear (sth) out or wear out (sth),,B1,phrasal verb,people: actions
weather forecast,,B1,noun,natural world
web,SPIDER,B1,noun,animals
webcam,,B1,noun,technology
wedding,,B1,noun,relationships
weigh,HEAVINESS,B1,verb,"describing things, people: appearance"
weight,AMOUNT,B1,noun,"describing things, people: appearance"
welcome,MEET,B1,verb,communication
welcome,PLEASED,B1,adjective,
welcome,FRIENDLY TREATMENT,B1,noun,communication
well-dressed,,B1,adjective,people: appearance
western,DIRECTION,B1,adjective,
western,COUNTRIES,B1,adjective,
wet,NOT DRY YET,B1,adjective,
whale,,B1,noun,animals
what,THE THING,B1,pronoun,
what,STRONG OPINION,B1,determiner,
What about ...?,,B1,phrase,communication
whatever,ANYTHING,B1,pronoun,
