Word,Level,Kanji,Hiragana,English
×,N2,×,ばつ,
あ,N4,,あ,Ah
ああ,N4,,ああ,like that
あい,N3,愛,あい,love
あいかわらず,N2,,あいかわらず,"as ever,as usual,the same"
あいさつ,N4,,あいさつ・する,to greet
あいじょう,N3,愛情,あいじょう,"love,affection"
あいする,N3,愛する,あいする,to love
あいず,N3,合図,あいず,"sign,signal"
あいそ,N1,愛想,あいそ,"civility, courtesy, compliments, sociability, graces"
あいたい,N1,相対,あいたい,"confrontation, facing, between ourselves, no third party, tete-a-tete"
あいだ,N4,間,あいだ,a space
あいだがら,N1,間柄,あいだがら,relation(ship)
あいて,N3,相手,あいて,"companion,partner,company"
あいにく,N3,,あいにく,"unfortunately,Sorry, but...."
あいま,N1,合間,あいま,interval
あいまい,N2,,あいまい,"vague,ambiguous"
あう,N5,会う,あう,to meet
あえて,N1,敢えて,あえて,"dare (to do), challenge (to do)"
あお,N5,青,あお,blue
あおい,N5,青い,あおい,blue
あおぐ,N2,扇ぐ,あおぐ,"to fan,to flap"
あおじろい,N2,青白い,あおじろい,"pale,pallid"
あか,N5,赤,あか,red
あかい,N5,赤い,あかい,red
あかがね,N1,銅,あかがね,copper
あかし,N1,証,あかし,"proof, evidence"
あかじ,N1,赤字,あかじ,"deficit, go in the red"
あかす,N1,明かす,あかす,"to pass, spend, to reveal, to divulge"
あかちゃん,N4,,あかちゃん,infant
あからさま,N1,明白,あからさま,"obvious, overt, plainly, frankly"
あからむ,N1,赤らむ,あからむ,"to become red, to redden, to blush"
あかり,N3,明かり,あかり,"lamplight,light (in general),brightness"
あかるい,N5,明い,あかるい,bright
あかんぼう,N4,赤ん坊,あかんぼう,baby
あがり,N1,上がり,あがり,"1. slope, advance income, crop yield, ascent, rise, advance, death, spinning, completion, stop, finish, after"
あがる,N4,上る,あがる,to rise
あき,N5,秋,あき,autumn
あきうど,N1,商人,あきうど,"trader, shopkeeper, merchant"
あきま,N1,空間,あきま,"vacancy, room for rent or lease"
あきらか,N3,明らか,あきらか,"obvious,evident,clear"
あきらめ,N1,諦め,あきらめ,"resignation, acceptance, consolation"
あきらめる,N3,諦める,あきらめる,"to give up,to abandon"
あきる,N3,飽きる,あきる,"to get tired of,to lose interest in,to have enough"
あきれる,N2,,あきれる,"to be amazed,to be shocked"
あく,N5,開く,あく,"to open, to become open"
あくしゅ,N3,握手,あくしゅ,handshake
あくどい,N1,,あくどい,"1. gaudy, showy, excessive, 2. vicious"
あくび,N2,,あくび,yawn
あくま,N3,悪魔,あくま,"devil,demon,evil spirit"
あくまで,N2,飽くまで,あくまで,"to the end,to the last,stubbornly"
あくる,N1,明くる,あくる,"next, following"
あけがた,N2,明け方,あけがた,dawn
あける,N5,開ける,あける,to open
あげる,N5,上げる,あげる,to give
あこがれ,N1,憧れ,あこがれ,"yearning, longing, aspiration"
あこがれる,N2,憧れる,あこがれる,"to long for,to yearn after,to admire"
あご,N1,顎,あご,chin
あさ,N5,朝,あさ,morning
あさい,N4,浅い,あさい,"shallow,superficial"
あさごはん,N5,朝御飯,あさごはん,breakfast
あさって,N5,,あさって,day after tomorrow
あさねぼう,N1,朝寝坊,あさねぼう,"oversleeping, late riser"
あさましい,N1,浅ましい,あさましい,"wretched, miserable, shameful, mean, despicable, abject"
あざ,N1,字,あざ,section of village
あざむく,N1,欺く,あざむく,to deceive
あざやか,N1,鮮やか,あざやか,"vivid, clear, brilliant"
あざわらう,N1,あざ笑う,あざわらう,"to sneer at, to ridicule"
あざ笑う,N1,あざ笑う,あざわらう,"to sneer at, to ridicule"
あし,N5,足,あし,"foot, leg"
あしあと,N2,足跡,あしあと,footprints
あした,N5,明日,あした,tomorrow
あじ,N4,味,あじ,flavour
あじわい,N1,味わい,あじわい,"flavour, meaning, significance"
あじわう,N2,味わう,あじわう,"to taste,to savor,to relish"
あす,N4,明日,あす,tomorrow
あずかる,N2,預かる,あずかる,"to keep in custody,to receive on deposit,to take charge of"
あずける,N3,預ける,あずける,"to give into custody,to entrust,to deposit"
あずま,N1,東,あずま,"east, Eastern Japan"
あせ,N3,汗,あせ,"sweat,perspiration"
あせる,N1,焦る,あせる,"to be in a hurry, to be impatient"
あそこ,N5,,あそこ,over there
あそび,N4,遊び,あそび,play
あそぶ,N5,遊ぶ,あそぶ,"to play, to make a visit"
あたい,N1,値,あたい,"value, price, cost, worth, merit"
あたいする,N1,値する,あたいする,"to be worth, to deserve, to merit"
あたえる,N3,与える,あたえる,"to give,to present,to award"
あたし,N1,私,あたし,I (fem)
あたたか,N3,暖かい,あたたか(い),"warm,mild"
あたたかい,N5,暖かい,あたたかい,warm
あたたまる,N2,暖まる,あたたまる,"to warm up,to get warm"
あたためる,N2,暖める,あたためる,"to warm,to heat"
あたま,N5,頭,あたま,head
あたらしい,N5,新しい,あたらしい,new
あたり,N3,辺り,あたり,"vicinity,nearby"
あたりまえ,N2,,あたりまえ,"usual,common,ordinary"
あたる,N3,当たる,あたる,"to be hit,to be successful,to be equivalent to"
あだびと,N1,他人,あだびと,"another person, unrelated person, outsider, stranger"
あちこち,N3,,あちこち,here and there
あちら,N5,,あちら,there
あちらこちら,N2,,あちらこちら,here and there
あっ,N3,,あっ,"Ah!,Oh!"
あっか,N1,悪化,あっか,"deterioration, growing worse, aggravation, degeneration, corruption"
あっけない,N1,呆気ない,あっけない,"not enough, too quick (short long etc.)"
あっこう,N1,悪口,あっこう,"abuse, insult, slander, evil speaking"
あっさり,N1,,あっさり,"easily, readily, quickly"
あっしゅく,N2,圧縮,あっしゅく,"compression,condensation,pressure"
あっち,N5,,あっち,over there
あっぱく,N1,圧迫,あっぱく,"pressure, coercion, oppression"
あつい,N5,暑い,あつい,hot
あつかい,N1,扱い,あつかい,"treatment, service"
あつかう,N3,扱う,あつかう,"to handle,to deal with,to treat"
あつかましい,N2,厚かましい,あつかましい,"impudent,shameless,brazen"
あつまり,N3,集まり,あつまり,"gathering,meeting,assembly,collection"
あつまる,N4,集る,あつまる,to gather
あつめる,N4,集める,あつめる,to collect something
あつらえる,N1,誂える,あつらえる,"to give an order, to place an order"
あつりょく,N1,圧力,あつりょく,"stress, pressure"
あて,N1,当て,あて,"object, aim, end, hopes, expectations"
あてじ,N1,当て字,あてじ,"phonetic-equivalent character, substitute character"
あてな,N2,宛名,あてな,"address,direction"
あてはまる,N2,,あてはまる,"to be applicable,to come under (a category),to fulfill"
あてはめる,N2,,あてはめる,"to apply,to adapt"
あてる,N3,当てる,あてる,"to hit,to apply a patch"
あと,N5,後,あと,afterwards
あとつぎ,N1,跡継ぎ,あとつぎ,"heir, successor"
あとまわし,N1,後回し,あとまわし,"putting off, postponing"
あな,N3,穴,あな,hole
あなた,N5,,あなた,you
あに,N5,兄,あに,(humble) older brother
あね,N5,姉,あね,(humble) older sister
あの,N5,,あの,that over there
あばれる,N2,暴れる,あばれる,"to act violently,to rage,to struggle,to be riotous"
あひら,N2,あひら,あひら,
あびる,N5,,あびる,"to bathe, to shower"
あふれる,N2,,あふれる,"to flood,to overflow,to brim over"
あぶない,N5,危ない,あぶない,dangerous
あぶら,N3,油,あぶら,oil
あぶらえ,N1,油絵,あぶらえ,oil painting
あぶる,N2,,あぶる,to scorch
あべこべ,N1,,あべこべ,"contrary, opposite, inverse"
あまい,N5,甘い,あまい,sweet
あまえる,N1,甘える,あまえる,"to behave like a spoiled child, to fawn on"
あまくち,N1,甘口,あまくち,"sweet flavour, mildness, flattery, stupidity"
あまぐ,N1,雨具,あまぐ,rain gear
あまつ,N1,天,あまつ,"heavenly, imperial"
あまど,N2,雨戸,あまど,sliding storm door
あまやかす,N2,甘やかす,あまやかす,"to pamper,to spoil"
あまり,N5,,あまり,not very
あまる,N2,余る,あまる,"to remain,to be left over,to be in excess,to be too many"
あみ,N1,網,あみ,"net, network"
あみもの,N2,編物,あみもの,"knitting,web"
あむ,N2,編む,あむ,to knit
あめ,N5,雨,あめ,rain
あめつち,N1,天地,あめつち,"heaven and earth, the universe, nature, top and bottom, realm, sphere, world"
あやうい,N2,危うい,あやうい,"dangerous,critical,grave"
あやしい,N2,怪しい,あやしい,"suspicious,dubious,doubtful"
あやつる,N1,操る,あやつる,"to manipulate, to operate, to pull strings"
あやふや,N1,,あやふや,"uncertain, vague, ambiguous"
あやぶむ,N1,危ぶむ,あやぶむ,"to fear, to have misgivings, to be doubtful, to mistrust"
あやまち,N1,過ち,あやまち,"fault, error, indiscretion"
あやまり,N3,誤り,あやまり,error
あやまる,N4,謝る,あやまる,to apologize
あゆみ,N1,歩み,あゆみ,walking
あゆむ,N1,歩む,あゆむ,"to walk, to go on foot"
あら,N3,粗,あら,"defect,flaw,blemish,weak point"
あらい,N2,荒い,あらい,"rough,rude,wild"
あらう,N5,洗う,あらう,to wash
あらかじめ,N1,予め,あらかじめ,"beforehand, in advance, previously"
あらし,N3,嵐,あらし,"storm,tempest"
あらす,N1,荒らす,あらす,"to lay waste, to devastate, to damage, to invade, to break into"
あらすじ,N2,,あらすじ,"outline,summary"
あらそい,N1,争い,あらそい,"dispute, strife, quarrel, dissension, conflict, rivalry, contest"
あらそう,N2,争う,あらそう,"to dispute,to argue,to be at variance,to compete"
あらた,N3,新た,あらた,"new,fresh,novel"
あらたまる,N1,改まる,あらたまる,to be renewed
あらためて,N2,改めて,あらためて,"another time,again,over again,anew,formally"
あらためる,N2,改める,あらためる,"to change,to alter,to reform,to revise"
あらっぽい,N1,荒っぽい,あらっぽい,"rough, rude"
あらゆる,N3,,あらゆる,"all,every"
あられ,N1,,あられ,"kind of cookie, cartoon character"
あらわす,N3,表す,あらわす,"to express,to show,to reveal"
あらわれ,N3,現れ,あらわれ,"embodiment,materialization"
あらわれる,N3,現れる,あらわれる,"(1) to appear,to come in sight,to become visible,(2) to express oneself"
ありがたい,N2,有難い,ありがたい,"grateful,thankful,welcome,appreciated,evoking gratitude"
ありがとう,N3,,ありがとう,"(conj,exp,int) Thank you"
ありさま,N1,有様,ありさま,"state, condition, circumstances, the way things are or should be, truth"
ありのまま,N1,有りのまま,ありのまま,"the truth, fact, as it is, frankly"
ある,N5,,ある,"to be,to have (used for inanimate objects)"
あるいは,N3,,あるいは,"or,possibly"
あるく,N5,歩く,あるく,to walk
あれ,N5,,あれ,that
あれこれ,N2,,あれこれ,"one thing or another,this and that,this or that"
あわ,N3,泡,あわ,"bubble,foam,froth,head on beer"
あわす,N1,合わす,あわす,"to join together, to face, to unite, to be opposite, to combine, to connect, to add up, to mix, to match, to"
あわせ,N1,合わせ,あわせ,"joint together, opposite, facing"
あわせる,N3,合わせる,あわせる,"to join together,to be opposite,to face,to unite"
あわただしい,N2,,あわただしい,"busy,hurried,confused,flurried"
あわてる,N2,,あわてる,to become confused
あわれ,N3,哀れ,あわれ,"helpless,pity,sorrow,grief"
あん,N3,案,あん,"plan,suffix meaning draft"
あんい,N2,安易,あんい,easy-going
あんがい,N2,案外,あんがい,unexpectedly
あんき,N3,暗記,あんき,"memorization,learning by heart"
あんさつ,N1,暗殺,あんさつ,assassination
あんざん,N1,暗算,あんざん,mental arithmetic
あんしん,N4,安心,あんしん,relief
あんじ,N1,暗示,あんじ,"hint, suggestion"
あんじる,N1,案じる,あんじる,"to be anxious, to ponder"
あんせい,N1,安静,あんせい,rest
あんぜん,N4,安全,あんぜん,safety
あんてい,N3,安定,あんてい,"stability,equilibrium"
あんな,N4,,あんな,such
あんない,N4,案内,あんない・する,to guide
あんなに,N3,,あんなに,"to that extent,to that degree"
あんのじょう,N1,案の定,あんのじょう,"sure enough, as usual"
あんまり,N3,,あんまり,"not very,not much,remainder,rest"
い,N3,胃,い,stomach
いい,N5,,いい/よい,good
いいえ,N5,,いいえ,no
いいかげん,N1,いい加減,いいかげん,"moderate, right, random, not thorough, vague, irresponsible, halfhearted"
いいだす,N2,言い出す,いいだす,"to start talking,to speak,to tell,to propose,to suggest,to break the ice"
いいつける,N2,言い付ける,いいつける,"to tell,to tell on (someone),to order"
いいわけ,N1,言い訳,いいわけ,"excuse, explanation"
いいん,N3,委員,いいん,committee member
いい加減,N1,いい加減,いいかげん,"moderate, right, random, not thorough, vague, irresponsible, halfhearted"
いう,N5,言う,いう,to say
いえ,N5,家,いえ,house
いえで,N1,家出,いえで,"running away from home, leaving home"
いえぬし,N1,家主,いえぬし,landlord
いか,N4,以下,いか,less than
いかが,N5,,いかが,how
いかす,N1,生かす,いかす,"to revive, to resuscitate, to make use of"
いかずち,N1,雷,いかずち,thunder
いかに,N1,如何に,いかに,"how?, in what way?, how much?, however, whatever"
いかにも,N1,如何にも,いかにも,"indeed, really, phrase meaning agreement"
いかり,N1,怒り,いかり,"anger, hatred"
いかる,N1,怒る,いかる,"to get angry, to be angry"
いがい,N4,以外,いがい,with the exception of
いがく,N4,医学,いがく,medical science
いがむ,N1,歪む,いがむ,"to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant, to be perv"
いき,N3,行き,いき,going
いきいき,N2,生き生き,いきいき,"vividly,lively"
いきおい,N3,勢い,いきおい,"force,vigor,energy,spirit"
いきがい,N1,域外,いきがい,outside the area
いきごむ,N1,意気込む,いきごむ,to be enthusiastic about
いきさつ,N1,経緯,いきさつ,"1. details, whole story, sequence of events, particulars, how it started, how things got this way, 2. c"
いきちがい,N1,行き違い,いきちがい,"misunderstanding, estrangement, disagreement, crossing without meeting, going astray"
いきなり,N2,,いきなり,"(uk) abruptly,suddenly,all of a sudden,without warning"
いきもの,N3,生き物,いきもの,"living thing,animal"
いきる,N4,生きる,いきる,to live
いぎ,N2,意義,いぎ,"meaning,significance"
いく,N5,行く,いく,to go
いくさ,N1,軍,いくさ,"war, battle, campaign, fight"
いくじ,N2,育児,いくじ,"childcare,nursing,upbringing"
いくせい,N1,育成,いくせい,"rearing, training, nurture, cultivation, promotion"
いくた,N1,幾多,いくた,"many, numerous"
いくつ,N5,,いくつ,"how many?,how old?"
いくぶん,N2,幾分,いくぶん,somewhat
いくら,N5,,いくら,how much?
いけ,N5,池,いけ,pond
いけない,N3,,いけない,"must not do,bad,wrong,not good"
いけばな,N2,生け花,いけばな,(1) flower arrangement
いける,N1,活ける,いける,to arrange (flowers)
いけん,N4,意見,いけん,opinion
いこう,N2,以降,いこう,"on and after,hereafter,thereafter"
いご,N2,以後,いご,"after this,from now on,hereafter,thereafter"
いさましい,N2,勇ましい,いさましい,"brave,valiant,gallant,courageous"
いざ,N1,,いざ,"now, come (now), well, crucial moment"
いし,N4,石,いし,stone
いしき,N3,意識,いしき,"consciousness,senses"
いしぶみ,N1,碑,いしぶみ,stone monument bearing an inscription
いしゃ,N5,医者,いしゃ,medical doctor
いしょう,N1,衣装,いしょう,"clothing, costume, outfit, garment, dress"
いしょくじゅう,N2,衣食住,いしょくじゅう,"necessities of life (food, clothing, etc.)"
いじ,N3,維持,いじ,"maintenance,preservation"
いじめる,N4,,いじめる,to tease
いじゅう,N1,移住,いじゅう,"migration, immigration"
いじょう,N4,以上,いじょう,"more than,this is all"
いじる,N1,弄る,いじる,"to touch, to tamper with"
いじわる,N2,意地悪,いじわる,"malicious,ill-tempered,unkind"
いす,N5,,いす,chair
いずみ,N3,泉,いずみ,"spring,fountain"
いずれ,N3,,いずれ,"where,which,who"
いせい,N1,異性,いせい,the opposite sex
いせき,N1,遺跡,いせき,historic ruins (remains relics)
いぜん,N3,以前,いぜん,"ago,since,before,previous"
いそがしい,N5,忙しい,いそがしい,"busy, irritated"
いそぐ,N4,急ぐ,いそぐ,to hurry
いそん,N1,依存,いそん,"dependence, dependent, reliance"
いた,N3,板,いた,"board,plank"
いたい,N5,痛い,いたい,painful
いたく,N1,委託,いたく,"consign (goods (for sale) to a firm), entrust (person with something), commit"
いたす,N4,致す,いたす,(humble) to do
いたずら,N3,,いたずら,"tease,prank,trick,practical joke"
いただき,N1,頂,いただき,"(top of) head, summit, spire"
いただきます,N3,,いただきます,expression of gratitude before meals
いただく,N4,,いただく,(humble) to receive
いたって,N1,至って,いたって,"very much, exceedingly, extremely"
いたみ,N3,痛み,いたみ,"pain,ache,sore,grief,distress"
いたむ,N1,痛む,いたむ,"to hurt, to feel a pain, to be injured"
いためる,N1,痛める,いためる,"to hurt, to injure, to cause pain, to worry, to bother, to afflict, to be grieved over"
いたる,N3,至る,いたる,"to come,to arrive"
いたわる,N1,労る,いたわる,"to pity, to sympathize with, to console, to care for, to be kind to"
いだい,N3,偉大,いだい,greatness
いだく,N3,抱く,いだく,"(sl) to embrace,to hug,to harbour,to entertain"
いち,N5,一,いち,one
いちいち,N2,,いちいち,"one by one,separately"
いちおう,N2,一応,いちおう,"once,tentatively,in outline,for the time being"
いちがいに,N1,一概に,いちがいに,"unconditionally, as a rule"
いちげん,N1,一見,いちげん,"unfamiliar, never before met"
いちじ,N3,一時,いちじ,"moment,time"
いちじつ,N1,一日,いちじつ,"1. one day, 2. first of month"
いちじょう,N1,一定,いちじょう,"fixed, settled, definite, uniform, regularized, defined, standardized, certain, prescribed"
いちじるしい,N1,著しい,いちじるしい,"remarkable, considerable"
いちだんと,N2,一段と,いちだんと,"greater,more,further,still more"
いちど,N4,一度,いちど,once
いちどう,N1,一同,いちどう,"all present, all concerned, all of us"
いちどに,N3,一度に,いちどに,all at once
いちにち,N5,一日,いちにち,first of the month
いちにん,N1,一人,いちにん,one person
いちば,N3,市場,いちば,(the) market (as a concept)
いちばん,N5,,いちばん,"best, first"
いちぶ,N1,一部,いちぶ,"1. one copy e.g. of a document, 2. a part, partly, some"
いちぶぶん,N1,一部分,いちぶぶん,a part
いちべつ,N1,一別,いちべつ,parting
いちめん,N1,一面,いちめん,"one side, one phase, front page, the other hand, the whole surface"
いちもく,N1,一目,いちもく,"a glance, a look, a glimpse"
いちよう,N1,一様,いちよう,"uniformity, evenness, similarity, equality, impartiality"
いちりつ,N1,一律,いちりつ,"evenness, uniformity, monotony, equality"
いちりゅう,N2,一流,いちりゅう,"first class,top grade,foremost,top-notch"
いちれん,N1,一連,いちれん,"a series, a chain, a ream (of paper)"
いっか,N3,一家,いっか,"a house,a home,a family,a household"
いっかつ,N1,一括,いっかつ,"all together, batch, one lump, one bundle, summing up"
いっき,N1,一気,いっき,drink!(said repeatedly as a party cheer)
いっきょに,N1,一挙に,いっきょに,"at a stroke, with a single swoop"
いっさい,N1,一切,いっさい,"all, everything, without exception, the whole, entirely, absolutely"
いっさくじつ,N2,一昨日,いっさくじつ,day before yesterday
いっさくねん,N2,一昨年,いっさくねん,year before last
いっしゅ,N3,一種,いっしゅ,"a species,a kind,a variety"
いっしゅん,N3,一瞬,いっしゅん,"a moment,an instant"
いっしょ,N5,一緒,いっしょ,together
いっしょう,N3,一生,いっしょう,"whole life,a lifetime,all through life"
いっしょうけんめい,N4,一生懸命,いっしょうけんめい,with utmost effort
いっしん,N1,一心,いっしん,"one mind, wholeheartedness, the whole heart"
いっせい,N2,一斉,いっせい,"simultaneous,all at once"
いっそ,N1,,いっそ,"rather, sooner, might as well"
いっそう,N3,一層,いっそう,"much more,still more,all the more"
いったい,N3,一体,いったい,"(1) one object,one body,(2) what on earth?,really?,(3) generally"
いったん,N2,一旦,いったん,"once,for a moment,one morning,temporarily"
いっち,N3,一致,いっち,"(1) coincidence,agreement,(2) conformity"
いってい,N2,一定,いってい,"fixed,settled,definite"
いっていらっしゃい,N2,,いっていらっしゃい,
いってまいります,N2,,いってまいります,
いってらっしゃい,N2,,いってらっしゃい,
いっぱい,N4,,いっぱい,full
いっぱん,N3,一般,いっぱん,"general,liberal,universal,ordinary,average"
いっぺん,N1,一変,いっぺん,"complete change, about-face"
いっぽう,N3,一方,いっぽう,"(1) on the other hand,(2) meanwhile,(3) only,simple,in turn"
いつ,N5,,いつ,when
いつか,N5,五日,いつか,"five days, fifth day"
いつつ,N5,五つ,いつつ,five
いつでも,N3,,いつでも,"(at) any time,always,at all times,never (neg)"
いつのまにか,N2,,いつのまにか,"before one knows,unnoticed,unawares"
いつまでも,N3,,いつまでも,"forever,for good,eternally,as long as one likes,indefinitely"
いつも,N5,,いつも,always
いてん,N2,移転,いてん,"moving,transfer,demise"
いと,N4,糸,いと,thread
いとこ,N3,従兄弟,いとこ,cousin (male)
いとなむ,N1,営む,いとなむ,"to carry on (e.g. in ceremony), to run a business"
いとま,N1,暇,いとま,"free time, leisure, leave, spare time, farewell"
いど,N2,井戸,いど,water well
いどう,N3,移動,いどう,"removal,migration,movement"
いどむ,N1,挑む,いどむ,"to challenge, to contend for, to make love to"
いない,N4,以内,いない,within
いなか,N4,田舎,いなか,countryside
いなびかり,N1,稲光,いなびかり,(flash of) lightning
いにしえ,N1,古,いにしえ,"antiquity, ancient times"
いぬ,N5,犬,いぬ,dog
いね,N3,稲,いね,rice-plant
いねむり,N3,居眠り,いねむり,"dozing,nodding off"
いのち,N3,命,いのち,"command,decree,life,destiny"
いのり,N1,祈り,いのり,"prayer, supplication"
いのる,N4,祈る,いのる,to pray
いはん,N3,違反,いはん,"violation (of law),transgression,infringement,breach"
いばる,N2,威張る,いばる,"to be proud,to swagger"
いびき,N1,鼾,いびき,snoring
いふく,N3,衣服,いふく,clothes
いま,N5,今,いま,now
いまさら,N1,今更,いまさら,"now, at this late hour"
いまだ,N1,未だ,いまだ,"as yet, hitherto, not yet (neg)"
いまに,N3,今に,いまに,"before long,even now"
いまにも,N3,今にも,いまにも,"at any time,soon"
いみ,N5,意味,いみ,meaning
いみん,N1,移民,いみん,"emigration, immigration, emigrant, immigrant"
いもうと,N5,妹,いもうと,(humble) younger sister
いや,N5,嫌,いや,unpleasant
いやいや,N1,厭々,いやいや,"unwillingly, grudgingly, shaking head in refusal (to children)"
いやがる,N2,嫌がる,いやがる,"to hate,to dislike"
いやしい,N1,卑しい,いやしい,"greedy, vulgar, shabby, humble, base, mean, vile"
いやに,N1,,いやに,"awfully, terribly"
いやらしい,N1,厭やらしい,いやらしい,"detestable, disagreeable"
いよいよ,N2,,いよいよ,"more and more,all the more,increasingly,at last,beyond doubt"
いよく,N1,意欲,いよく,"will, desire, ambition"
いらい,N3,以来,いらい,"since,henceforth"
いらいら,N3,,いらいら,"getting nervous,irritation"
いらっしゃい,N3,,いらっしゃい,welcome
いらっしゃる,N4,,いらっしゃる,"(respectful) to be,to come or to go"
いりくち,N1,入口,いりくち,"entrance, gate, approach, mouth"
いりぐち,N5,入口,いりぐち,entrance
いりょう,N3,医療,いりょう,"medical care,medical treatment"
いりょく,N1,威力,いりょく,"power, might, authority, influence"
いる,N5,居る,いる,"to be, to have (used for people and animals)"
いるい,N1,衣類,いるい,"clothes, clothing, garments"
いれもの,N2,入れ物,いれもの,"container,case,receptacle"
いれる,N5,入れる,いれる,to put in
いろ,N5,色,いろ,colour
いろいろ,N5,,いろいろ,various
いろん,N1,異論,いろん,"different opinion, objection"
いわ,N3,岩,いわ,"rock,crag"
いわい,N3,祝い,いわい,"celebration,festival"
いわう,N3,祝う,いわう,"to congratulate,to celebrate"
いわば,N3,言わば,いわば,so to speak
いわゆる,N3,,いわゆる,"the so-called,so to speak"
いん,N1,印,いん,"seal, stamp, mark, print"
いんかん,N1,印鑑,いんかん,"stamp, seal"
いんき,N1,陰気,いんき,"gloom, melancholy"
いんきょ,N1,隠居,いんきょ,"retirement, retired person"
いんさつ,N3,印刷,いんさつ,printing
いんしょう,N3,印象,いんしょう,impression
いんたい,N3,引退,いんたい,retire
いんよう,N3,引用,いんよう,"quotation,citation"
いんりょく,N2,引力,いんりょく,gravity
うえ,N5,上,うえ,on top of
うえき,N2,植木,うえき,"garden shrubs,trees,potted plant"
うえした,N1,上下,うえした,"high and low, up and down, unloading and loading, praising and blaming"
うえる,N4,植える,うえる,"to plant,to grow"
うお,N3,魚,うお,fish
うかがう,N4,,うかがう,to visit
うかぶ,N2,浮ぶ,うかぶ,"to float,to rise to surface,to come to mind"
うかべる,N2,浮かべる,うかべる,"to float,to express,to look (sad, glad)"
うかる,N1,受かる,うかる,to pass (examination)
うがい,N3,,うがい,"gargle,rinse mouth"
うく,N2,浮く,うく,"to float,to become merry,to become loose"
うけいれ,N1,受け入れ,うけいれ,"receiving, acceptance"
うけいれる,N1,受け入れる,うけいれる,"to accept, to receive"
うけたまわる,N2,承る,うけたまわる,"(hum) to hear,to be told,to know"
うけつぐ,N1,受け継ぐ,うけつぐ,"to inherit, to succeed, to take over"
うけつけ,N4,受付,うけつけ,receipt
うけつける,N1,受け付ける,うけつける,"to be accepted, to receive (an application)"
うけとめる,N1,受け止める,うけとめる,"to catch, to stop the blow, to react to, to take"
うけとり,N2,受取,うけとり,receipt
うけとる,N3,受け取る,うけとる,"to receive,to get,to accept,to take"
うけみ,N1,受身,うけみ,"passive, passive voice"
うけもつ,N2,受け持つ,うけもつ,to take (be in) charge of
うける,N4,受ける,うける,to take a lesson or test
うごかす,N3,動かす,うごかす,"to move,to shift"
うごき,N1,動き,うごき,"movement, activity, trend, development, change"
うごく,N4,動く,うごく,to move
うさぎ,N3,兎,うさぎ,"rabbit,hare,cony"
うし,N3,牛,うし,"cattle,cow"
うしお,N1,潮,うしお,tide
うしなう,N3,失う,うしなう,"to lose,to part with"
うしろ,N5,後ろ,うしろ,behind
うじ,N1,氏,うじ,family name
うすい,N5,薄い,うすい,"thin,weak"
うすぐらい,N2,薄暗い,うすぐらい,"dim,gloomy"
うすめる,N2,薄める,うすめる,"to dilute,to water down"
うず,N1,渦,うず,swirl
うずまる,N1,埋まる,うずまる,"to be buried, to be surrounded, to overflow, to be filled"
うそ,N4,,うそ,a lie
うそつき,N1,嘘つき,うそつき,"liar (sometimes said with not much seriousness), fibber"
うた,N5,歌,うた,song
うたう,N5,歌う,うたう,to sing
うたがう,N3,疑う,うたがう,"to doubt,to distrust,to be suspicious of,to suspect"
うち,N4,,うち,within
うちあわせ,N2,打合せ,うちあわせ,"business meeting,previous arrangement,appointment"
うちあわせる,N1,打ち合わせる,うちあわせる,"to knock together, to arrange"
うちきる,N1,打ち切る,うちきる,"to stop, to abort, to discontinue, to close"
うちけし,N1,打ち消し,うちけし,"negation, denial, negative"
うちけす,N2,打ち消す,うちけす,"to deny,to negate,to contradict"
うちこむ,N1,打ち込む,うちこむ,"to drive in (e.g. nail stake), to devote oneself to, to shoot into, to smash, to throw into, to cast int"
うちゅう,N3,宇宙,うちゅう,"universe,cosmos,space"
うちわ,N1,団扇,うちわ,fan
うちわけ,N1,内訳,うちわけ,"the items, breakdown, classification"
うっかり,N2,,うっかり,"carelessly,thoughtlessly,inadvertently"
うったえ,N1,訴え,うったえ,"lawsuit, complaint"
うったえる,N3,訴える,うったえる,"to sue (a person),to resort to,to appeal to"
うっとうしい,N1,鬱陶しい,うっとうしい,"gloomy, depressing"
うつ,N4,打つ,うつ,to hit
うつくしい,N4,美しい,うつくしい,beautiful
うつし,N1,写し,うつし,"copy, duplicate, facsimile, transcript"
うつす,N4,写す,うつす,to copy or photograph
うつる,N4,移る,うつる,to move house or transfer
うつろ,N1,空ろ,うつろ,"blank, cavity, hollow, empty (space)"
うつわ,N1,器,うつわ,"bowl, vessel, container"
うてん,N1,雨天,うてん,rainy weather
うで,N4,腕,うで,arm
うでまえ,N1,腕前,うでまえ,"ability, skill, facility"
うどん,N2,,うどん,noodles (Japanese)
うながす,N1,促す,うながす,"to urge, to press, to suggest, to demand, to stimulate, to quicken, to incite, to invite (attention to)"
うなる,N3,,うなる,"to groan,to moan"
うぬぼれ,N1,自惚れ,うぬぼれ,"pretension, conceit, hubris"
うばう,N3,奪う,うばう,to snatch away
うま,N3,馬,うま,"(1) horse,(2) promoted bishop (shogi)"
うまい,N4,,うまい,delicious
うまれ,N3,生まれ,うまれ,"birth,birth-place"
うまれつき,N1,生まれつき,うまれつき,"by nature, by birth, native"
うまれる,N5,生まれる,うまれる,to be born
うみ,N5,海,うみ,sea
