Kanji,Hiragana,English,JLPT
真っ赤,まっか,"deep red,flushed (of face)",N3
真っ直ぐ,まっすぐ,"straight (ahead),direct,upright",N3
全く,まったく,"really,truly,entirely,completely",N3
祭,まつり,"festival,feast",N3
学ぶ,まなぶ,"to study (in depth),to learn,to take lessons in",N3
真似,まね,"mimicry,imitation,behavior,pretense",N3
招く,まねく,to invite,N3
,ママ,Mama,N3
豆,まめ,"beans,peas",N3
守る,まもる,"to protect,to obey,to guard,to abide (by the rules)",N3
丸,まる,"circle,full (month),perfection,purity,suffix for ship names",N3
円,まる,"circle,money",N3
丸い,まるい,"round,circular,spherical",N3
,まるで,"quite,entirely,completely",N3
回す,まわす,"to turn,to revolve",N3
回り,まわり,"circumference,surroundings,circulation",N3
万一,まんいち,"by some chance,by some possibility,if by any chance,10E4:1 odds",N3
満足,まんぞく,satisfaction,N3
身,み,"body,main part,oneself,sword",N3
実,み,"fruit,nut,seed,content,good result",N3
見送り,みおくり,"seeing one off,farewell,escort",N3
味方,みかた,"friend,ally,supporter",N3
見事,みごと,"splendid,magnificent,beautiful,admirable",N3
,ミス,"miss (mistake, error, failure),Miss",N3
満ちる,みちる,"to be full,to rise (tide),to mature,to expire",N3
密,みつ,,N3
認める,みとめる,"to recognize,to appreciate,to approve,to admit,to notice",N3
皆,みんな,"all,everyone,everybody",N3
見舞い,みまい,"enquiry,expression of sympathy,expression of concern",N3
土産,みやげ,"present,souvenir",N3
都,みやこ,capital,N3
妙,みょう,"strange,unusual",N3
明後日,みょうごにち,day after tomorrow,N3
未来,みらい,"future (life, tense)",N3
魅力,みりょく,"charm,fascination,glamour",N3
見る,みる,"to see,to watch",N3
,ミルク,milk,N3
無,む,"nothing,naught,nil,zero",N3
向かい,むかい,"facing,opposite,across the street,other side",N3
迎え,むかえ,"meeting,person sent to pick up an arrival",N3
向く,むく,to face,N3
向ける,むける,"to turn towards,to point",N3
無視,むし,"disregard,ignore",N3
虫歯,むしば,"cavity,tooth decay,decayed tooth,caries",N3
寧ろ,むしろ,"rather,better,instead",N3
結ぶ,むすぶ,"to tie,to bind,to link",N3
無駄,むだ,"futility,uselessness",N3
夢中,むちゅう,"daze,(in a) trance,ecstasy,delirium,engrossment",N3
胸,むね,"breast,chest",N3
無料,むりょう,"free,no charge",N3
芽,め,sprout,N3
明確,めいかく,"clear up,clarify,define",N3
命じる,めいじる,"to order,to command,to appoint",N3
名人,めいじん,"master,expert",N3
命令,めいれい,"order,command,decree,directive,(software) instruction",N3
迷惑,めいわく,"trouble,bother,annoyance",N3
飯,めし,"(sl) meals,food",N3
滅多に,めったに,"rarely (with neg. verb),seldom",N3
,メモ,memorandum,N3
面,めん,"face,mug,surface,facial features,mask,face guard,side or facet,corner,page",N3
綿,めん,"cotton,padding",N3
免許,めんきょ,"license,permit,licence,certificate",N3
面倒,めんどう,"trouble,difficulty,care,attention",N3
,メンバー,member,N3
申し込む,もうしこむ,"to apply for,to make an application",N3
申し訳,もうしわけ,"apology,excuse",N3
毛布,もうふ,blanket,N3
燃える,もえる,to burn,N3
目的,もくてき,"purpose,goal,aim,objective,intention",N3
目標,もくひょう,"mark,objective,target",N3
木曜,もくよう,Thursday,N3
文字,もじ,"letter (of alphabet),character",N3
文字,もんじ,"letter (of alphabet),character",N3
,もしも,if,N3
持ち上げる,もちあげる,"to raise,to lift up,to flatter",N3
用いる,もちいる,"to use,to make use of",N3
勿論,もちろん,"of course,certainly,naturally",N3
最も,もっとも,"most,extremely",N3
尤も,もっとも,"quite right,plausible,natural,but then,although",N3
元,もと,"(1) origin,original,(2) former",N3
基,もと,basis,N3
素,もと,prime,N3
戻す,もどす,"to restore,to put back,to return",N3
基づく,もとづく,"to be grounded on,to be based on,to be due to,to originate from",N3
求める,もとめる,"to seek,to request,to demand,to want,to wish for,to search for,to pursue (pleasure),to hunt (a job),",N3
者,もの,person,N3
物音,ものおと,sounds,N3
物語,ものがたり,"tale,story,legend",N3
物事,ものごと,"things,everything",N3
模様,もよう,"pattern,figure,design",N3
貰う,もらう,to receive,N3
文句,もんく,"phrase,complaint",N3
,やがて,"before long,soon,at length",N3
役,やく,"use,service,role,position",N3
約,やく,"approximately,about,some",N3
訳,やく,"meaning,reason,circumstances,can be deduced,situation",N3
役割,やくわり,"part,assigning (allotment of) parts,role,duties",N3
家賃,やちん,rent,N3
厄介,やっかい,"trouble,burden,care,bother",N3
宿,やど,"inn,lodging",N3
雇う,やとう,"to employ,to hire",N3
屋根,やね,roof,N3
,やはり,"also,as I thought,still,in spite of,absolutely,of course",N3
破る,やぶる,"to tear,to violate,to defeat,to smash,to destroy",N3
辞める,やめる,to retire,N3
,やや,"a little,partially,somewhat,a short time,a while",N3
唯一,ゆいいつ,"only,sole,unique",N3
勇気,ゆうき,"courage,bravery,valour,nerve,boldness",N3
有効,ゆうこう,"validity,availability,effectiveness",N3
優秀,ゆうしゅう,"superiority,excellence",N3
優勝,ゆうしょう,"overall victory,championship",N3
友情,ゆうじょう,"friendship,fellowship",N3
友人,ゆうじん,friend,N3
有能,ゆうのう,"able,capable,efficient,skill",N3
郵便,ゆうびん,"mail,postal service",N3
夕べ,ゆうべ,evening,N3
,ユーモア,humor,N3
有利,ゆうり,"advantageous,better,profitable,lucrative",N3
床,ゆか,floor,N3
愉快,ゆかい,"pleasant,happy",N3
輸出,ゆしゅつ,export,N3
譲る,ゆずる,"to turn over,to assign,to hand over",N3
豊か,ゆたか,"abundant,wealthy,plentiful,rich",N3
,ゆっくり,"slowly,at ease",N3
輸入,ゆにゅう,"importation,import,introduction",N3
許す,ゆるす,"to permit,to allow,to approve",N3
夜,よ,"evening,night",N3
夜明け,よあけ,"dawn,daybreak",N3
様,よう,"way,manner,kind",N3
酔う,よう,"to get drunk,to become intoxicated",N3
容易,ようい,"easy,simple,plain",N3
陽気,ようき,"season,weather,cheerfulness",N3
要求,ようきゅう,"request,demand,requisition",N3
用心,ようじん,"care,precaution,guarding,caution",N3
様子,ようす,"aspect,state,appearance",N3
要するに,ようするに,"in a word,after all,the point is ..,in short ..",N3
要素,ようそ,element,N3
要点,ようてん,"gist,main point",N3
曜日,ようび,day of the week,N3
,ヨーロッパ,Europe,N3
予期,よき,"expectation,assume will happen,forecast",N3
横切る,よこぎる,"to cross (e.g. arms),to traverse",N3
予算,よさん,"estimate,budget",N3
止す,よす,"to cease,to abolish,to resign,to give up",N3
予測,よそく,"prediction,estimation",N3
,ヨット,yacht,N3
夜中,よなか,"midnight,dead of night",N3
世の中,よのなか,"society,the world,the times",N3
余分,よぶん,"extra,excess,surplus",N3
予報,よほう,"forecast,prediction",N3
予防,よぼう,"prevention,precaution,protection against",N3
読み,よみ,reading,N3
嫁,よめ,"bride,daughter-in-law",N3
余裕,よゆう,"surplus,composure,margin,room,time,allowance,scope,rope",N3
,より,"twist,ply",N3
,よると,according to,N3
喜び,よろこび,"(a) joy,(a) delight,rapture,pleasure,gratification,rejoicing,congratulations,felicitations",N3
宜しい,よろしい,"(hon) good,OK,all right,fine,very well,will do,may,can",N3
よろしく,（感）,"well,properly,suitably,best regards,please remember me",N3
四,よん,four,N3
来,らい,",for (10 days),next (year)",N3
,ライター,"lighter,rider,writer",N3
楽,らく,"comfort,ease",N3
,ラケット,"paddle,racket",N3
利益,りえき,"profits,gains,(political, economic) interest",N3
理解,りかい,"understanding,comprehension",N3
陸,りく,six (used in legal documents),N3
利口,りこう,"clever,shrewd,bright,sharp,wise,intelligent",N3
離婚,りこん,divorce,N3
理想,りそう,ideal,N3
率,りつ,"rate,ratio,proportion,percentage",N3
立派,りっぱ,"splendid,fine,handsome,elegant,imposing,prominent,legal,legitimate",N3
留学,りゅうがく,studying abroad,N3
流行,りゅうこう,"fashionable,fad,in vogue,prevailing",N3
量,りょう,"quantity,amount,volume,portion (of food)",N3
両替,りょうがえ,"change,money exchange",N3
料金,りょうきん,"fee,charge,fare",N3
例,れい,"instance,example,case",N3
礼,れい,expression of gratitude,N3
礼儀,れいぎ,"manners,courtesy,etiquette",N3
冷静,れいせい,"calm,composure,coolness,serenity",N3
列,れつ,"queue,line,row",N3
列車,れっしゃ,train (ordinary),N3
,レポート,"report,paper",N3
練習,れんしゅう,practice,N3
連想,れんそう,"association (of ideas),suggestion",N3
連続,れんぞく,"serial,consecutive,continuity,continuing",N3
老人,ろうじん,"the aged,old person",N3
労働,ろうどう,"manual labor,toil,work",N3
,ロケット,"locket,rocket",N3
論じる,ろんじる,"to argue,to discuss,to debate",N3
論争,ろんそう,"controversy,dispute",N3
論文,ろんぶん,"thesis,essay,treatise,paper",N3
輪,わ,"ring,hoop,circle",N3
,ワイン,wine,N3
,わがまま,"selfishness,egoism,wilfulness,disobedience,whim",N3
別れ,わかれ,"parting,separation,farewell",N3
脇,わき,side,N3
分ける,わける,"to divide,to separate",N3
,わざと,on purpose,N3
僅か,わずか,"only,merely,a little,small quantity",N3
綿,わた,"cotton,padding",N3
話題,わだい,"topic,subject",N3
笑い,わらい,"laugh,laughter,smile",N3
割る,わる,"to divide,to cut,to break,to halve",N3
悪口,わるくち,"abuse,insult,slander,evil speaking",N3
我々,われわれ,we,N3
湾,わん,"bay,gulf,inlet",N3
,あいかわらず,"as ever,as usual,the same",N2
,アイデア/アイディア,idea,N2
,あいまい,"vague,ambiguous",N2
遭う,あう,"to meet,to encounter (undesirable nuance)",N2
扇ぐ,あおぐ,"to fan,to flap",N2
青白い,あおじろい,"pale,pallid",N2
,あかんぼう,baby,N2
明き,あき,"room,time to spare,emptiness",N2
,あきれる,"to be amazed,to be shocked",N2
,アクセント,accent,N2
,あくび,yawn,N2
飽くまで,あくまで,"to the end,to the last,stubbornly",N2
明け方,あけがた,dawn,N2
揚げる,あげる,"to lift,to fry",N2
挙げる,あげる,"to raise,to fly",N2
,あげる,to do for,N2
憧れる,あこがれる,"to long for,to yearn after,to admire",N2
足跡,あしあと,footprints,N2
味わう,あじわう,"to taste,to savor,to relish",N2
預かる,あずかる,"to keep in custody,to receive on deposit,to take charge of",N2
暖まる,あたたまる,"to warm up,to get warm",N2
暖める,あたためる,"to warm,to heat",N2
,あたりまえ,"usual,common,ordinary",N2
あひら,あひら,,N2
,あちらこちら,here and there,N2
厚かましい,あつかましい,"impudent,shameless,brazen",N2
圧縮,あっしゅく,"compression,condensation,pressure",N2
宛名,あてな,"address,direction",N2
,あてはまる,"to be applicable,to come under (a category),to fulfill",N2
,あてはめる,"to apply,to adapt",N2
暴れる,あばれる,"to act violently,to rage,to struggle,to be riotous",N2
脂,あぶら,"fat,tallow,lard",N2
,あぶる,to scorch,N2
,あふれる,"to flood,to overflow,to brim over",N2
雨戸,あまど,sliding storm door,N2
甘やかす,あまやかす,"to pamper,to spoil",N2
余る,あまる,"to remain,to be left over,to be in excess,to be too many",N2
編物,あみもの,"knitting,web",N2
編む,あむ,to knit,N2
危うい,あやうい,"dangerous,critical,grave",N2
怪しい,あやしい,"suspicious,dubious,doubtful",N2
荒い,あらい,"rough,rude,wild",N2
粗い,あらい,"coarse,rough",N2
,あらすじ,"outline,summary",N2
争う,あらそう,"to dispute,to argue,to be at variance,to compete",N2
改めて,あらためて,"another time,again,over again,anew,formally",N2
改める,あらためる,"to change,to alter,to reform,to revise",N2
著す,あらわす,"to write,to publish",N2
有難い,ありがたい,"grateful,thankful,welcome,appreciated,evoking gratitude",N2
在る,ある,"to live,to be",N2
,あれこれ,"one thing or another,this and that,this or that",N2
,あわただしい,"busy,hurried,confused,flurried",N2
,あわてる,to become confused,N2
安易,あんい,easy-going,N2
案外,あんがい,unexpectedly,N2
,アンテナ,antenna,N2
言い出す,いいだす,"to start talking,to speak,to tell,to propose,to suggest,to break the ice",N2
言い付ける,いいつける,"to tell,to tell on (someone),to order",N2
意義,いぎ,"meaning,significance",N2
生き生き,いきいき,"vividly,lively",N2
,いきなり,"(uk) abruptly,suddenly,all of a sudden,without warning",N2
育児,いくじ,"childcare,nursing,upbringing",N2
幾分,いくぶん,somewhat,N2
生け花,いけばな,(1) flower arrangement,N2
以後,いご,"after this,from now on,hereafter,thereafter",N2
以降,いこう,"on and after,hereafter,thereafter",N2
,イコール,equal,N2
勇ましい,いさましい,"brave,valiant,gallant,courageous",N2
衣食住,いしょくじゅう,"necessities of life (food, clothing, etc.)",N2
意地悪,いじわる,"malicious,ill-tempered,unkind",N2
,いちいち,"one by one,separately",N2
一応,いちおう,"once,tentatively,in outline,for the time being",N2
一段と,いちだんと,"greater,more,further,still more",N2
一流,いちりゅう,"first class,top grade,foremost,top-notch",N2
佚,いつ,"be lost,peace,hide,mistake,beautiful,in turn",N2
一昨日,いっさくじつ,day before yesterday,N2
一昨年,いっさくねん,year before last,N2
一斉,いっせい,"simultaneous,all at once",N2
一旦,いったん,"once,for a moment,one morning,temporarily",N2
一定,いってい,"fixed,settled,definite",N2
,いっていらっしゃい,,N2
,いってらっしゃい,,N2
,いってまいります,,N2
,いつのまにか,"before one knows,unnoticed,unawares",N2
移転,いてん,"moving,transfer,demise",N2
井戸,いど,water well,N2
緯度,いど,latitude (nav.),N2
従姉妹,いとこ,cousin (female),N2
威張る,いばる,"to be proud,to swagger",N2
嫌がる,いやがる,"to hate,to dislike",N2
,いよいよ,"more and more,all the more,increasingly,at last,beyond doubt",N2
煎る,いる,"to parch,to fry",N2
炒る,いる,,N2
入れ物,いれもの,"container,case,receptacle",N2
,インキ,ink,N2
,インタビュー,interview,N2
引力,いんりょく,gravity,N2
,ウーマン,woman,N2
,ウール,wool,N2
,ウエートレス,waitress,N2
植木,うえき,"garden shrubs,trees,potted plant",N2
飢える,うえる,to starve,N2
浮ぶ,うかぶ,"to float,to rise to surface,to come to mind",N2
浮かべる,うかべる,"to float,to express,to look (sad, glad)",N2
浮く,うく,"to float,to become merry,to become loose",N2
承る,うけたまわる,"(hum) to hear,to be told,to know",N2
受取,うけとり,receipt,N2
受け持つ,うけもつ,to take (be in) charge of,N2
薄暗い,うすぐらい,"dim,gloomy",N2
薄める,うすめる,"to dilute,to water down",N2
打合せ,うちあわせ,"business meeting,previous arrangement,appointment",N2
打ち消す,うちけす,"to deny,to negate,to contradict",N2
討つ,うつ,"to attack,to avenge",N2
,うっかり,"carelessly,thoughtlessly,inadvertently",N2
映す,うつす,"to project,to reflect,to cast (shadow)",N2
写る,うつる,"to be photographed,to be projected",N2
映る,うつる,"to be reflected,to harmonize with,to come out (photo)",N2
,うどん,noodles (Japanese),N2
有無,うむ,"yes or no,existence,flag indicator (comp),presence or absence marker",N2
埋める,うめる,"to bury,to fill up,to fill (a seat, a vacant position)",N2
敬う,うやまう,"to show respect,to honour",N2
裏返す,うらがえす,"to turn inside out,to turn (something) over",N2
裏口,うらぐち,"backdoor,rear entrance",N2
占う,うらなう,"to forecast,to predict",N2
恨み,うらみ,resentment,N2
恨む,うらむ,"to curse,to feel bitter",N2
羨ましい,うらやましい,"envious,enviable",N2
羨む,うらやむ,to envy,N2
売上,うりあげ,"amount sold,proceeds",N2
売り切れ,うりきれ,sold-out,N2
売り切れる,うりきれる,to be sold out,N2
売行き,うれゆき,sales,N2
,うろうろ,"loiteringly,aimless wandering",N2
運河,うんが,"canal,waterway",N2
,うんと,"a great deal,very much",N2
英文,えいぶん,sentence in English,N2
英和,えいわ,English-Japanese (e.g. dictionary),N2
,ええと,"let me see,well,er....",N2
液体,えきたい,"liquid,fluid",N2
,エチケット,etiquette,N2
絵の具,えのぐ,"colors,paints",N2
,エプロン,apron,N2
偉い,えらい,"great,celebrated,eminent,terrible,awful,famous,remarkable,excellent",N2
宴会,えんかい,"party,banquet",N2
園芸,えんげい,"horticulture,gardening",N2
演劇,えんげき,play (theatrical),N2
円周,えんしゅう,circumference,N2
遠足,えんそく,"trip,hike,picnic",N2
延長,えんちょう,"extension,elongation,prolongation,lengthening",N2
煙突,えんとつ,chimney,N2
追い掛ける,おいかける,"to chase or run after someone,to run down,to pursue",N2
追い越す,おいこす,"to pass (e.g. car),to outdistance,to outstrip",N2
,オイル,"oil,engine oil,kerosene",N2
応援,おうえん,"aid,assistance,help,reinforcement",N2
王女,おうじょ,princess,N2
応ずる,おうずる,"to answer,to respond,to meet,to satisfy,to accept",N2
応接,おうせつ,reception,N2
応対,おうたい,"receiving,dealing with",N2
往復,おうふく,"(col) round trip,coming and going,return ticket",N2
欧米,おうべい,"Europe and America,the West",N2
応用,おうよう,"application,put to practical use",N2
,オーケストラ,orchestra,N2
,おおざっぱ,"rough (not precise),broad,sketchy",N2
大通り,おおどおり,main street,N2
,オートメーション,automation,N2
,オーバーコート,,N2
大凡,おおよそ,"about,roughly,as a rule,approximately",N2
お帰り,おかえり,"return,welcome",N2
,おかけください,,N2
,おかげさまで,"Thanks to god,thanks to you",N2
,おかず,"side dish,accompaniment for rice dishes",N2
拝む,おがむ,"to worship,to beg,to make a supplication",N2
お代わり,おかわり,"second helping,another cup",N2
補う,おぎなう,to compensate for,N2
,おきのどくに,,N2
屋外,おくがい,outdoors,N2
,おくさん,"(hon) wife,your wife,madam",N2
送り仮名,おくりがな,part of word written in kana,N2
,おげんきで,,N2
怠る,おこたる,"to neglect,to be off guard,to be feeling better",N2
押える,おさえる,"to stop,to restrain,to seize,to repress,to suppress,to press down",N2
,おさきに,"before,ahead,previously",N2
納める,おさめる,"to obtain,to reap,to pay,to supply,to accept",N2
治める,おさめる,"(1) to govern,to manage,(2) to subdue",N2
惜しい,おしい,"regrettable,disappointing,precious",N2
御辞儀,おじぎ,bow,N2
伯父さん,おじさん,"middle-aged gentleman,uncle",N2
小父さん,おじさん,"middle-aged gentleman,uncle",N2
叔父さん,おじさん,"middle-aged gentleman,uncle",N2
,おしゃれ,"smartly dressed,someone smartly dressed,fashion-conscious",N2
,おじゃまします,Excuse me for disturbing you,N2
教わる,おそわる,to be taught,N2
,おだいじに,Take care of yourself,N2
落着く,おちつく,"to calm down,to settle down",N2
御手洗,おてあらい,font of purifying water placed at entrance of shrine,N2
お出掛け,おでかけ,,N2
お手伝いさん,おてつだいさん,maid,N2
,おどかす,"to threaten,to coerce",N2
落し物,おとしもの,lost property,N2
,おととい,day before yesterday,N2
,おととし,year before last,N2
,おとなしい,"obedient,docile,quiet",N2
驚かす,おどろかす,"to surprise,to frighten,to create a stir",N2
,おねがいします,please,N2
各々,おのおの,"each,every,either,respectively,severally",N2
伯母さん,おばさん,(hon) aunt,N2
叔母さん,おばさん,"(1) aunt,(2) middle-aged lady",N2
,おはよう,(abbr) Good morning,N2
お参り,おまいり,"worship,shrine visit",N2
,おまたせしました,Sorry to have kept you waiting,N2
,おまちください,Please wait a moment,N2
,おまちどおさま,Sorry to have kept you waiting,N2
,おめでたい,"happy event,matter for congratulation,auspicious event,pregnancy",N2
思い掛けない,おもいがけない,"unexpected,casual",N2
思い込む,おもいこむ,"to be under impression that,to be convinced that",N2
思いっ切り,おもいっきり,,N2
思い付く,おもいつく,"to think of,to hit upon",N2
重たい,おもたい,"heavy,massive,serious",N2
,おやすみ,"(1) holiday,absence,rest,(2) (exp) Good night",N2
,おやつ,"(1) between meal snack,afternoon refreshment",N2
親指,おやゆび,thumb,N2
,オルガン,organ,N2
卸す,おろす,"to sell wholesale,grated (vegetables)",N2
恩恵,おんけい,"grace,favor,blessing,benefit",N2
温室,おんしつ,greenhouse,N2
温泉,おんせん,"spa,hot spring,onsen",N2
温帯,おんたい,temperate zone,N2
御中,おんちゅう,"and Company,Messrs.",N2
女の人,おんなのひと,woman,N2
蚊,か,mosquito,N2
,カーブ,"(1) curve,(2) curve ball (baseball)",N2
貝,かい,"shell,shellfish",N2
開会,かいかい,opening of a meeting,N2
会館,かいかん,"meeting hall,assembly hall",N2
改札,かいさつ,examination of tickets,N2
解散,かいさん,"breakup,dissolution",N2
海水浴,かいすいよく,"sea bathing,seawater bath",N2
回数,かいすう,"number of times,frequency",N2
回数券,かいすうけん,book of tickets,N2
改正,かいせい,"revision,amendment,alteration",N2
快晴,かいせい,good weather,N2
解説,かいせつ,"explanation,commentary",N2
改造,かいぞう,"(1) remodeling,(2) modding (comp)",N2
開通,かいつう,"opening,open",N2
回転,かいてん,"rotation,revolution,turning",N2
解答,かいとう,"answer,solution",N2
回答,かいとう,"reply,answer",N2
外部,がいぶ,"the outside,external",N2
解放,かいほう,"release,liberation,emancipation",N2
開放,かいほう,"open,throw open,liberalization",N2
海洋,かいよう,ocean,N2
概論,がいろん,"intro,outline,general remarks",N2
帰す,かえす,to send back,N2
却って,かえって,"on the contrary,rather,all the more,instead",N2
代える,かえる,"to exchange,to interchange,to substitute,to replace",N2
反る,かえる,"to warp,to be warped,to curve",N2
家屋,かおく,"house,building",N2
係わる,かかわる,"to concern oneself in,to have to do with,to affect,to influence,to stick to (opinions)",N2
書留,かきとめ,"writing down,putting on record,recording,making a note of,registration (of mail)",N2
書取,かきとり,dictation,N2
垣根,かきね,hedge,N2
掻く,かく,"to scratch,to perspire",N2
嗅ぐ,かぐ,"to sniff,to smell",N2
架空,かくう,"aerial,overhead,fiction,fanciful",N2
各自,かくじ,"individual,each",N2
拡充,かくじゅう,expansion,N2
学術,がくじゅつ,"science,learning,scholarship",N2
各地,かくち,"every place,various places",N2
拡張,かくちょう,"expansion,extension,enlargement,escape (ESC)",N2
角度,かくど,angle,N2
学年,がくねん,"year in school,grade in school",N2
学部,がくぶ,"department of a university,undergraduate",N2
格別,かくべつ,exceptional,N2
確率,かくりつ,probability,N2
学力,がくりょく,"scholarship,knowledge,literary ability",N2
掛け算,かけざん,multiplication,N2
可決,かけつ,"approval,adoption (e.g. motion, bill),passage",N2
火口,かこう,"a burner,origin of a fire",N2
下降,かこう,"downward,descent,fall,drop,subsidence",N2
重なる,かさなる,"to be piled up,lie on top of one another,overlap each other",N2
重ねる,かさねる,"to pile up,to put something on another,to heap up,to add,to repeat",N2
飾り,かざり,decoration,N2
火山,かざん,volcano,N2
,かしこまりました,certainly!,N2
貸し出し,かしだし,"lending,loaning",N2
過失,かしつ,"error,blunder,accident",N2
果実,かじつ,"fruit,nut,berry.",N2
貸間,かしま,room to let,N2
貸家,かしや,house for rent,N2
個所,かしょ,"passage,place,point,part",N2
過剰,かじょう,"excess,over-",N2
,かじる,"to chew,to bite (at),to gnaw,to nibble",N2
課税,かぜい,taxation,N2
下線,かせん,"underline,underscore",N2
,カセット,cassette (tape),N2
加速,かそく,acceleration,N2
加速度,かそくど,acceleration,N2
固い,かたい,"stubborn,firm (not viscous or easily moved)",N2
堅い,かたい,"hard (esp. wood),steadfast,honorable,stuffy writing",N2
片仮名,かたかな,katakana,N2
片付く,かたづく,"to put in order,to dispose of,to solve",N2
塊,かたまり,"lump,mass,clod,cluster",N2
固まる,かたまる,"to harden,to solidify,to become firm,to become certain",N2
片道,かたみち,one-way (trip),N2
傾く,かたむく,"to incline toward,to slant,to lurch",N2
片寄る,かたよる,"to be one-sided,to incline,to be partial",N2
学科,がっか,"study subject,course of study",N2
学会,がっかい,"scientific society,academic meeting",N2
楽器,がっき,musical instrument,N2
学級,がっきゅう,grade in school,N2
担ぐ,かつぐ,"to shoulder,to carry on shoulder",N2
括弧,かっこ,"parenthesis,brackets",N2
活字,かつじ,printing type,N2
活躍,かつやく,activity,N2
活力,かつりょく,"vitality,energy",N2
仮定,かてい,"assumption,supposition,hypothesis",N2
過程,かてい,process,N2
課程,かてい,"course,curriculum",N2
仮名,かな,"(n) alias,pseudonym,pen name",N2
仮名遣い,かなづかい,"kana orthography,syllabary spelling",N2
鐘,かね,"bell,chime",N2
加熱,かねつ,heating,N2
兼ねる,かねる,"to hold (position),to serve,to be unable",N2
,カバー,cover (ex. book),N2
過半数,かはんすう,majority,N2
被せる,かぶせる,to cover (with something),N2
釜,かま,"iron pot,kettle",N2
紙屑,かみくず,wastepaper,N2
神様,かみさま,god,N2
剃刀,かみそり,razor,N2
,ガム,chewing gum,N2
貨物,かもつ,"cargo,freight",N2
,かゆい,"itchy,itching",N2
歌謡,かよう,"song,ballad",N2
殻,から,"shell,husk,hull,chaff",N2
,カラー,"collar,color,colour",N2
,からかう,"to ridicule,to tease,to banter with,to make fun of",N2
空っぽ,からっぽ,"empty,vacant,hollow",N2
,かるた,(n) playing cards (pt: carta),N2
枯れる,かれる,"to wither,to die (plant),to be blasted (plant)",N2
,カロリー,calorie,N2
,かわいがる,"to love,to be affectionate",N2
乾かす,かわかす,"to dry (clothes, etc.),to desiccate",N2
渇く,かわく,to be thirsty,N2
為替,かわせ,"money order,exchange",N2
瓦,かわら,roof tile,N2
代る,かわる,"(v5r,vi) to take the place of,to relieve,to be substituted for",N2
間隔,かんかく,"space,interval,SPC",N2
換気,かんき,ventilation,N2
感激,かんげき,"deep emotion,impression,inspiration",N2
関西,かんさい,,N2
鑑賞,かんしょう,appreciation,N2
感ずる,かんずる,"to feel,to sense",N2
間接,かんせつ,"indirection,indirectness",N2
乾燥,かんそう,"dry,arid,insipid,dehydrated",N2
感想,かんそう,"impressions,thoughts",N2
観測,かんそく,observation,N2
寒帯,かんたい,frigid zone,N2
官庁,かんちょう,"government office,authorities",N2
勘違い,かんちがい,"misunderstanding,wrong guess",N2
缶詰,かんづめ,"packing (in cans),canning,canned goods,tin can",N2
乾電池,かんでんち,"dry cell,battery",N2
関東,かんとう,"eastern half of Japan, including Tokyo",N2
観念,かんねん,"(1) idea,notion,conception,(2) sense (e.g. of duty)",N2
乾杯,かんぱい,toast (drink),N2
看板,かんばん,"sign,signboard,doorplate,poster",N2
看病,かんびょう,nursing (a patient),N2
冠,かんむり,"crown,diadem,first,best",N2
漢和,かんわ,Chinese Character-Japanese (e.g. dictionary),N2
気圧,きあつ,atmospheric pressure,N2
器械,きかい,instrument,N2
着替え,きがえ,"changing clothes,change of clothes",N2
機関車,きかんしゃ,"locomotive,engine",N2
飢饉,ききん,famine,N2
器具,きぐ,utensil,N2
期限,きげん,"term,period",N2
記号,きごう,"symbol,code",N2
刻む,きざむ,"to mince,to carve,to engrave",N2
儀式,ぎしき,"ceremony,rite,ritual,service",N2
基準,きじゅん,"standard,basis,criteria,norm",N2
規準,きじゅん,"standard,basis,criteria,norm",N2
起床,きしょう,"rising,getting out of bed",N2
着せる,きせる,to put on clothes,N2
基礎,きそ,"foundation,basis",N2
気体,きたい,"vapour,gas",N2
基地,きち,base,N2
,きっかけ,"chance,start,cue,excuse",N2
,ぎっしり,"tightly,fully",N2
基盤,きばん,"foundation,basis",N2
客席,きゃくせき,guest seating,N2
客間,きゃくま,"parlor,guest room",N2
,ギャング,gang,N2
,キャンパス,campus,N2
休業,きゅうぎょう,"closed (e.g. store),business suspended,shutdown,holiday",N2
休講,きゅうこう,lecture cancelled,N2
休息,きゅうそく,"rest,relief,relaxation",N2
給与,きゅうよ,"allowance,grant,supply",N2
休養,きゅうよう,"rest,break,recreation",N2
清い,きよい,"clear,pure,noble",N2
強化,きょうか,"strengthen,intensify,reinforce,solidify",N2
境界,きょうかい,boundary,N2
行事,ぎょうじ,"event,function",N2
恐縮,きょうしゅく,"shame,very kind of you,sorry to trouble",N2
教養,きょうよう,"culture,education,refinement,cultivation",N2
行列,ぎょうれつ,"(1) line,procession,(2) matrix (math)",N2
漁業,ぎょぎょう,fishing (industry),N2
曲線,きょくせん,curve,N2
規律,きりつ,"order,rules,law",N2
斬る,きる,"(v5r) to behead,to murder",N2
気を付ける,きをつける,"to be careful,to pay attention,to take care",N2
金魚,きんぎょ,goldfish,N2
区域,くいき,"limits,boundary,domain,zone,sphere,territory",N2
偶数,ぐうすう,even number,N2
空想,くうそう,"daydream,fantasy,fancy,vision",N2
空中,くうちゅう,"sky,air",N2
,クーラー,"cooler,air conditioner",N2
釘,くぎ,nail,N2
区切る,くぎる,"to punctuate,to cut off,to mark off,to stop,to put an end to",N2
櫛,くし,comb,N2
,くしゃみ,sneeze,N2
